"","Survey","areacode","Item.group","FBS.share","NHS.share","NHS.share.original","NEW.FBS","FBS.kcal","NHS.kcal","NEW.FBS.kcal","Partial.FBS","Partial.NHS","Updated.partial.FBS ","FBS.is.updated","DIFFERENCE","Original.Protein","Protein.after.update","Original.Fat","Fat.after.update","Continent","Subregion","UN.population"
"298","Gabon_2005",74,"Stimulants",0.00295311717367092,0.00295311717367092,0.00181197935544776,0.00295311717367092,8,4,8,NA,NA,NA,FALSE,0,0.2,0.2,0.7,0.7,"Africa","Middle Africa",1379000
"299","Gabon_2005",74,"Spices",0.000738278375622224,0.000738278375622224,0.00246728075476574,0.000738278375622224,2,5,2,NA,NA,NA,FALSE,0,0.1,0.1,0,0,"Africa","Middle Africa",1379000
"300","Gabon_2005",74,"Alcoholic Bev.",0.0387596055422117,0.0387596055422117,0.0132988249156477,0.0387596055422117,106,29,106,NA,NA,NA,FALSE,0,0.9,0.9,0,0,"Africa","Middle Africa",1379000
"301","Gabon_2005",74,"Meat & Offals",0.0911774766756682,0.068911139267503,0.0666613896382364,0.0817946096614458,248,145,223,0.108143524850061,0.0817339300618086,0.0970147203567452,TRUE,0.00938286701422235,27.6,24.759746693652,14.3,12.8284194825806,"Africa","Middle Africa",1379000
"302","Gabon_2005",74,"Eggs",0.00184569777464657,0.00376544583788846,0.0036425149087548,0.00206971536320954,5,8,6,0.00218914002049214,0.00446610939881296,0.00245484217127425,TRUE,-0.000224017588562973,0.4,0.448549137706117,0.4,0.448549137706117,"Africa","Middle Africa",1379000
"303","Gabon_2005",74,"Fish Products",0.0236249373893673,0.0326958811353494,0.0316284550668692,0.0244259948417897,64,69,67,0.0280209992291878,0.0387798386506444,0.0289711151971973,TRUE,-0.000801057452422375,10.1,10.4424635645006,2.2,2.27459602395062,"Africa","Middle Africa",1379000
"304","Gabon_2005",74,"Milk",0.0265780729189483,0.0265586494202351,0.0256915862382573,0.0265594653965365,72,56,72,0.0315236459043625,0.0315006081356903,0.0315015759465647,TRUE,1.86075224118294e-05,3.2,3.19775965428722,3,2.99789967589427,"Africa","Middle Africa",1379000
"305","Gabon_2005",74,"Veg. Oils",0.0586933896802993,0.0586933896802993,0.129309661271719,0.0586933896802993,160,281,160,NA,NA,NA,FALSE,0,0,0,18,18,"Africa","Middle Africa",1379000
"306","Gabon_2005",74,"Animal Fats",0.00627537169956193,0.00627537169956193,8.18997339781117e-05,0.00627537169956193,17,0,17,NA,NA,NA,FALSE,0,0,0,1.9,1.9,"Africa","Middle Africa",1379000
"307","Ghana_1998_99",81,"Grand Total",0.999998857259218,0.999998857259218,0,0.999998857259218,2434,2298,2434,NA,NA,NA,FALSE,0,50.65235,52.9099945203814,38.74287,39.5637418822966,"Africa","Western Africa",1.8e+07
"308","Ghana_1998_99",81,"Cereals",0.207059205697007,0.293455950562524,0.307217895023323,0.286246649190045,504,706,697,0.267687717297326,0.379382086727161,0.370061847034311,TRUE,-0.0791874434930383,13.23331,18.2942392367531,3.980956,5.50342744596686,"Africa","Western Africa",1.8e+07
"309","Ghana_1998_99",81,"Starchy Roots",0.481960478492086,0.404942648529972,0.42393288617278,0.41110861163455,1173,974,1000,0.623082175365161,0.523512938516448,0.531484342554476,TRUE,0.0708518668575353,13.43809,11.4625882607735,1.5,1.27948855761199,"Africa","Western Africa",1.8e+07
"310","Ghana_1998_99",81,"Sugar Products",0.0212301184897562,0.0106277676292096,0.0111261686586489,0.0172982610289331,52,26,42,0.02744645879107,0.0137396588915373,0.0223633235357056,TRUE,0.00393185746082314,0.1,0.0814798138657572,0,0,"Africa","Western Africa",1.8e+07
"311","Ghana_1998_99",81,"Pulses",0.0021328038348931,0.00912993124771112,0.00955808956762614,0.00300799047230164,5,22,7,0.00275730503303949,0.0118032446157338,0.00388875297996071,TRUE,-0.000875186637408549,0.3190439,0.44996215579951,0,0,"Africa","Western Africa",1.8e+07
"312","Ghana_1998_99",81,"Oilcrops & Treenuts",0.0403867438977594,0.0403867438977594,0.0549332694022949,0.0403867438977594,98,126,98,NA,NA,NA,FALSE,0,2.742868,2.742868,8.566693,8.566693,"Africa","Western Africa",1.8e+07
"313","Ghana_1998_99",81,"Vegetables",0.0127382108032625,0.00754757166727667,0.00790152346787862,0.0102867109398036,31,18,25,0.0164680558920292,0.00975755810493998,0.0132987382072878,TRUE,0.00245149986345895,1.5,1.21132132667748,0.3,0.242264265335496,"Africa","Western Africa",1.8e+07
"314","Ghana_1998_99",81,"Fruits",0.103177452956297,0.103177452956297,0.00934552318053179,0.103177452956297,251,21,251,NA,NA,NA,FALSE,0,2.319044,2.319044,0.7,0.7,"Africa","Western Africa",1.8e+07
"315","Ghana_1998_99",81,"Stimulants",0.000332656731487097,0.000332656731487097,0.000597499670750128,0.000332656731487097,1,1,1,NA,NA,NA,FALSE,0,0.0809561,0.0809561,0.0809561,0.0809561,"Africa","Western Africa",1.8e+07
"316","Ghana_1998_99",81,"Spices",0.00823784201747247,0.00823784201747247,0,0.00823784201747247,20,0,20,NA,NA,NA,FALSE,0,0.9428683,0.9428683,0.6619122,0.6619122,"Africa","Western Africa",1.8e+07
"317","Ghana_1998_99",81,"Alcoholic Bev.",0.00978360335294708,0.00978360335294708,0.0211088339857536,0.00978360335294708,24,49,24,NA,NA,NA,FALSE,0,0.3,0.3,0,0,"Africa","Western Africa",1.8e+07
"318","Ghana_1998_99",81,"Meat & Offals",0.015438423856536,0.00716720895858009,0.00750332322526253,0.011677840216851,38,17,28,0.0199589118818128,0.0092658222997471,0.0150972007261831,TRUE,0.00376058363968506,4.357132,3.29579572193096,2.138088,1.61727973435552,"Africa","Western Africa",1.8e+07
"319","Ghana_1998_99",81,"Eggs",0.00123273007773508,0.00253004321415806,0.00264869241561375,0.00140680590946072,3,6,3,0.00159368282826089,0.00327085912641145,0.0018187293886126,TRUE,-0.000174075831725635,0.2,0.228242327313935,0.2,0.228242327313935,"Africa","Western Africa",1.8e+07
"320","Ghana_1998_99",81,"Fish Products",0.0283527917879069,0.0348068395438915,0.036439145147989,0.0291737446262197,69,84,71,0.0366547050500005,0.0449985471183197,0.0377160391286132,TRUE,-0.000820952838312787,10.7,11.0098176516675,2.580956,2.655687376353,"Africa","Western Africa",1.8e+07
"321","Ghana_1998_99",81,"Milk",0.00336553391262818,0.00330233559848735,0.00345720231361167,0.00330368634133565,8,8,8,0.00435098786130038,0.00426928459970208,0.00427103085033847,TRUE,6.18475712925257e-05,0.5,0.490811625599662,0.3,0.294486975359797,"Africa","Western Africa",1.8e+07
"322","Ghana_1998_99",81,"Veg. Oils",0.0632604203091572,0.0632604203091572,0.104194518934329,0.0632604203091572,154,239,154,NA,NA,NA,FALSE,0,0,0,17.41426,17.41426,"Africa","Western Africa",1.8e+07
"323","Ghana_1998_99",81,"Animal Fats",0.00131098378306971,0.00131098378306971,3.54288336073387e-05,0.00131098378306971,3,0,3,NA,NA,NA,FALSE,0,0,0,0.3190439,0.3190439,"Africa","Western Africa",1.8e+07
"324","Guatemala_2006",89,"Grand Total",1.00000214551928,1.00000214551928,0,1.00000214551928,2419,2287,2419,NA,NA,NA,FALSE,0,61.5,61.6716964289251,58.8,58.2494362973904,"Americas","Central America",1.3e+07
